Method,Label,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
graph,body,mature,juvenile,1.0,1.0,1.0,0.27,0.9
graph,claw,mature,juvenile,0.571,0.308,0.400154721274,0.27,0.9
graph,head,mature,juvenile,0.8,0.8,0.8,0.27,0.9
graph,arm,mature,juvenile,0.545,0.6,0.571179039301,0.27,0.9
model,tail,mature,juvenile,1.0,1.0,1.0,0.27,0.9
model,back,juvenile,mature,0.0,0.0,0,0.27,0.9
model,body,juvenile,mature,1.0,1.0,1.0,0.27,0.9
model,tail,juvenile,mature,0.75,0.75,0.75,0.27,0.9
model,head,juvenile,mature,0.333,0.4,0.36343792633,0.27,0.9
graph,back,juvenile,mature,0.0,0.0,0,0.27,0.9
graph,body,juvenile,mature,1.0,1.0,1.0,0.27,0.9
graph,tail,juvenile,mature,0.0,0.0,0,0.27,0.9
graph,head,juvenile,mature,0.333,0.4,0.36343792633,0.27,0.9
model,back,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
model,claw,juvenile,juvenile,0.7,0.389,0.500091827365,0.27,0.9
model,tail,juvenile,juvenile,0.889,0.889,0.889,0.27,0.9
model,body,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
model,arm,juvenile,juvenile,0.923,0.6,0.727248850952,0.27,0.9
model,head,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
graph,back,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
graph,claw,juvenile,juvenile,0.8,0.444,0.571061093248,0.27,0.9
graph,tail,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
graph,body,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
graph,head,juvenile,juvenile,1.0,1.0,1.0,0.27,0.9
graph,arm,juvenile,juvenile,1.0,0.6,0.75,0.27,0.9
model,claw,juvenile,mature,0.333,0.2,0.24990619137,0.27,0.9
model,arm,juvenile,mature,0.714,0.5,0.588138385502,0.27,0.9
graph,claw,juvenile,mature,0.333,0.2,0.24990619137,0.27,0.9
graph,arm,juvenile,mature,0.571,0.4,0.47044284243,0.27,0.9
model,head,mature,mature,0.25,0.286,0.266791044776,0.08,0.7
model,claw,mature,mature,0.625,0.357,0.454429735234,0.08,0.7
model,arm,mature,mature,0.5,0.563,0.529633113829,0.08,0.7
model,back,mature,mature,0.25,0.333,0.285591766724,0.08,0.7
model,body,mature,mature,1.0,1.0,1.0,0.08,0.7
graph,tail,mature,mature,0.833,0.833,0.833,0.08,0.7
graph,head,mature,mature,0.25,0.286,0.266791044776,0.08,0.7
graph,claw,mature,mature,0.625,0.357,0.454429735234,0.08,0.7
graph,arm,mature,mature,0.389,0.438,0.412048367594,0.08,0.7
graph,back,mature,mature,0.455,0.833,0.588532608696,0.08,0.7
graph,body,mature,mature,1.0,1.0,1.0,0.08,0.7
model,head,mature,juvenile,0.636,0.7,0.666467065868,0.08,0.7
model,tail,mature,juvenile,0.286,0.286,0.286,0.08,0.7
model,claw,mature,juvenile,0.625,0.333,0.434498956159,0.08,0.7
