Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
graph,mature,juvenile,0.755,0.5,0.601593625498,0.26,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.26,0.5
graph,juvenile,mature,0.621,0.243,0.3493125,0.26,0.5
model,juvenile,juvenile,0.962,0.689,0.802929133858,0.26,0.5
graph,juvenile,juvenile,0.979,0.622,0.760697064335,0.26,0.5
model,mature,mature,0.816,0.419,0.553690688259,0.19,0.3
graph,mature,mature,0.781,0.338,0.47181054513,0.19,0.3
model,mature,juvenile,0.75,0.608,0.671575846834,0.19,0.3
graph,mature,juvenile,0.724,0.568,0.636582043344,0.19,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.19,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.19,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.19,0.3
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.19,0.3
model,mature,mature,0.727,0.216,0.333047720042,0.40,0.9
graph,mature,mature,0.727,0.216,0.333047720042,0.40,0.9
model,mature,juvenile,0.737,0.378,0.499705829596,0.40,0.9
graph,mature,juvenile,0.711,0.365,0.482369888476,0.40,0.9
model,juvenile,mature,0.727,0.216,0.333047720042,0.40,0.9
graph,juvenile,mature,0.684,0.176,0.279962790698,0.40,0.9
model,juvenile,juvenile,0.938,0.608,0.73778007762,0.40,0.9
graph,juvenile,juvenile,0.927,0.514,0.661315752949,0.40,0.9
model,mature,mature,0.732,0.703,0.717206968641,0.05,0.5
graph,mature,mature,0.694,0.676,0.684881751825,0.05,0.5
model,mature,juvenile,0.718,0.757,0.73698440678,0.05,0.5
graph,mature,juvenile,0.671,0.662,0.666469617404,0.05,0.5
model,juvenile,mature,0.694,0.338,0.454596899225,0.05,0.5
graph,juvenile,mature,0.719,0.311,0.43419223301,0.05,0.5
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.05,0.5
graph,juvenile,juvenile,1.0,0.784,0.878923766816,0.05,0.5
model,mature,mature,0.773,0.23,0.354516450648,0.40,0.7
graph,mature,mature,0.773,0.23,0.354516450648,0.40,0.7
model,mature,juvenile,0.737,0.378,0.499705829596,0.40,0.7
graph,mature,juvenile,0.711,0.365,0.482369888476,0.40,0.7
model,juvenile,mature,0.708,0.23,0.347206823028,0.40,0.7
graph,juvenile,mature,0.667,0.189,0.294539719626,0.40,0.7
model,juvenile,juvenile,0.958,0.622,0.754273417722,0.40,0.7
graph,juvenile,juvenile,0.951,0.527,0.678182679296,0.40,0.7
model,mature,mature,0.754,0.581,0.656290636704,0.09,0.5
graph,mature,mature,0.705,0.581,0.637021772939,0.09,0.5
model,mature,juvenile,0.75,0.73,0.739864864865,0.09,0.5
graph,mature,juvenile,0.758,0.676,0.714655509066,0.09,0.5
model,juvenile,mature,0.694,0.338,0.454596899225,0.09,0.5
graph,juvenile,mature,0.71,0.297,0.418808341609,0.09,0.5
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.09,0.5
graph,juvenile,juvenile,0.983,0.784,0.872294284097,0.09,0.5
model,mature,mature,0.763,0.392,0.517915151515,0.20,0.7
graph,mature,mature,0.71,0.297,0.418808341609,0.20,0.7
model,mature,juvenile,0.804,0.608,0.692396600567,0.20,0.7
graph,mature,juvenile,0.759,0.554,0.640496572734,0.20,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.20,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.20,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.20,0.7
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.20,0.7
model,mature,mature,0.8,0.162,0.269438669439,0.65,0.5
graph,mature,mature,0.8,0.162,0.269438669439,0.65,0.5
model,mature,juvenile,0.783,0.243,0.370894736842,0.65,0.5
graph,mature,juvenile,0.783,0.243,0.370894736842,0.65,0.5
model,juvenile,mature,0.762,0.216,0.336588957055,0.65,0.5
graph,juvenile,mature,0.737,0.189,0.300848812095,0.65,0.5
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.65,0.5
